'headings','words','POStags'
'Room Temp.(25C)','Room|Temp.|(|25C|)','NNP|NNP|(|NN|)'
"'Table 3 Established and Potential Drug Interactions: Use With Caution, Alteration in Dose or Regimen May Be Needed Due to Drug Interaction Established Drug Interactions: See Clinical Pharmacology (12.3), Table 4 for Magnitude of Interaction. '","'Table|3|Established|and|Potential|Drug|Interactions|:|Use|With|Caution|,|Alteration|in|Dose|or|Regimen|May|Be|Needed|Due|to|Drug|Interaction|Established|Drug|Interactions|:|See|Clinical|Pharmacology|(|12.3|)|,|Table|4|for|Magnitude|of|Interaction|.'","'JJ|CD|NNP|CC|NNP|NNP|NNP|:|NN|IN|NN|,|NN|IN|NN|CC|NN|NNP|NNP|NNP|NNP|TO|NNP|NNP|NNP|NNP|NNPS|:|NNP|NNP|NNP|(|CD|)|,|JJ|CD|IN|NN|IN|NN|.'"
"'Table 1	Oral drugs that can be administered concomitantly with Velphoro'",'Table|1|Oral|drugs|that|can|be|administered|concomitantly|with|Velphoro','JJ|CD|NNP|NNS|WDT|MD|VB|VBN|RB|IN|NNP'
'Table II. Clinically Significant Drug Interactions With Theophylline*','Table|II.|Clinically|Significant|Drug|Interactions|With|Theophylline*','JJ|NNP|NNP|NNP|NNP|NNP|IN|NNP'
'Table III. Drugs That Have Been Documented Not to Interact With Theophylline or Drugs That Produce No Clinically Significant Interaction With Theophylline*','Table|III.|Drugs|That|Have|Been|Documented|Not|to|Interact|With|Theophylline|or|Drugs|That|Produce|No|Clinically|Significant|Interaction|With|Theophylline*','JJ|NNP|NNP|NNP|NNP|NNP|NNP|NNP|TO|VB|IN|NN|CC|NNP|NNP|NNP|NNP|NNP|JJ|NN|IN|NN'
'Parameter','Parameter','NNP'
"'\Atazanavir/RitonavirFor information regarding clinical recommendations, see \Drug Interactions (7)\.\, \Parallel group design; n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. Changes in atazanavir PK are relative to atazanavir/ritonavir 300 mg/100 mg alone.'","'\Atazanavir/RitonavirFor|information|regarding|clinical|recommendations|,|see|\Drug|Interactions|(|7|)|\.\|,|\Parallel|group|design|;|n|=|23|for|atazanavir/ritonavir|+|nevirapine|,|n|=|22|for|atazanavir/ritonavir|without|nevirapine.|Changes|in|atazanavir|PK|are|relative|to|atazanavir/ritonavir|300|mg/100|mg|alone|.'","'IN|NN|VBG|JJ|NNS|,|VBP|NNP|NNP|(|CD|)|NN|,|NNP|NN|NN|:|NN|SYM|CD|IN|NN|SYM|NN|,|NN|SYM|CD|IN|NN|IN|JJ|NNS|IN|NN|NN|VBP|JJ|TO|NN|CD|NN|NN|RB|.'"
"'\Atazanavir/RitonavirFor information regarding clinical recommendations, seeDrug Interactions (7)\.\Parallel group design; n = 23 for atazanavir/ritonavir + nevirapine, n = 22 for atazanavir/ritonavir without nevirapine. Changes in atazanavir PK are relative to atazanavir/ritonavir 300 mg/100 mg alone.'","'\Atazanavir/RitonavirFor|information|regarding|clinical|recommendations|,|seeDrug|Interactions|(|7|)|\.\Parallel|group|design|;|n|=|23|for|atazanavir/ritonavir|+|nevirapine|,|n|=|22|for|atazanavir/ritonavir|without|nevirapine.|Changes|in|atazanavir|PK|are|relative|to|atazanavir/ritonavir|300|mg/100|mg|alone|.'","'IN|NN|VBG|JJ|NNS|,|NN|NNS|(|CD|)|NNP|NN|NN|:|NN|SYM|CD|IN|NN|SYM|NN|,|NN|SYM|CD|IN|NN|IN|JJ|NNS|IN|NN|NN|VBP|JJ|TO|NN|CD|NN|NN|RB|.'"
"'\albuterol,\systemic and inhaled\amoxicillin\ampicillin,\with or without sulbactam\atenolol\azithromycin\caffeine,\dietary ingestion\cefaclor\co-trimoxazole\(trimethoprim and sulfamethoxazole)\diltiazem\dirithromycin\enflurane\famotidine\felodipine\finasteride\hydrocortisone\isoflurane\isoniazid\isradipine\influenza vaccine\ketoconazole\'",'',''
"'\albuterol,\ systemic and inhaled\amoxicillin\ampicillin,\ with or without sulbactam\atenolol\azithromycin\caffeine,\ dietary ingestion\cefaclor\co-trimoxazole\ (trimethoprim and sulfamethoxazole)\diltiazem\dirithromycin\enflurane\famotidine\felodipine\finasteride\hydrocortisone\isoflurane\isoniazid\isradipine\influenza vaccine\ketoconazole\'",'',''
'\AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide\','',''
"'\Amiodarone,amlodipine,ranolazine \'",'',''
'\AmiodaroneIodide (including iodine-containing Radiographic contrast agents)\','',''
'\Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate','\Antacids-|Aluminum|&|Magnesium|Hydroxides-|SimethiconeBile|Acid|Sequestrants-|Cholestyramine-|ColestipolCalcium|CarbonateCation|Exchange|Resins-|KayexalateFerrous|SulfateOrlistatSucralfate','NNP|NNP|CC|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP'
'\Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate','\Antacids-|Aluminum|&|Magnesium|Hydroxides-|SimethiconeBile|Acid|Sequestrants-|Cholestyramine-|ColestipolCalcium|CarbonateCation|Exchange|Resins-|KayexalateFerrous|SulfateOrlistatSucralfate','NNP|NNP|CC|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP|NNP'
'\Antacids - Aluminum & Magnesium Hydroxides - Simethicone Bile Acid Sequestrants - Cholestyramine - Colestipol Calcium Carbonate Cation Exchange Resins - Kayexalate Ferrous Sulfate Orlistat Sucralfate','\Antacids|-|Aluminum|&|Magnesium|Hydroxides|-|Simethicone|Bile|Acid|Sequestrants|-|Cholestyramine|-|Colestipol|Calcium|Carbonate|Cation|Exchange|Resins|-|Kayexalate|Ferrous|Sulfate|Orlistat|Sucralfate','NNS|:|NNP|CC|NNP|NNP|HYPH|NNP|NNP|NNP|NNPS|HYPH|NN|HYPH|NNP|NNP|NNP|NNP|NNP|NNP|HYPH|NNP|NNP|NNP|NNP|NNP'
'\Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate\','',''
'\Antibiotics\ciprofloxacingentamicintobramycintrimethoprim with sulfamethoxazolevancomycin','\Antibiotics','NNS'
'\Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide\','',''
'\Grapefruitjuice \','',''
'\Lomitapide\','',''
'\Table 2: Drug  Thyroidal Axis Interactions\','',''
'\Table 2: Drug-Thyroidal Axis Interactions\','',''
"'\Table III. Clinically\significant drug interactions with\theophylline.\Refer to PRECAUTIONS, Drug Interactions for\further information regarding table.\'",'',''
"'\Table IV. Drugs that have\been documented not to interact with theophylline\or drugs that produce no clinically significant\interaction with theophylline.\Refer to PRECAUTIONS, Drug Interactions for\information regarding table.\'",'',''
"'\Verapamil,diltiazem,dronedarone \'",'',''
'\* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.\','',''
"'\Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)\'",'',''
'\CiprofloxacinMycophenolate mofetil','\CiprofloxacinMycophenolate|mofetil','NN|NN'
'\Clozapine\','',''
'\DigoxinEnalaprilIronMetoprololWarfarin\','',''
'\Duloxetine\','',''
'\I.Due to the competition of salicylate with other drugs for binding to serum albumin the following drug interactions may occur:','\I.Due|to|the|competition|of|salicylate|with|other|drugs|for|binding|to|serum|albumin|the|following|drug|interactions|may|occur|:','NN|TO|DT|NN|IN|NN|IN|JJ|NNS|IN|VBG|TO|NN|IN|DT|VBG|NN|NNS|MD|VB|:'
'\Phenytoin\','',''
'\Probenecid\','',''
'\Ropinirole\','',''
'\Sildenafil\','',''
'\Table 1: Oral drugs that can be administered concomitantly with Auryxia\','',''
'\Table 2: Drug-Thyroidal Axis Interactions\','',''
'\Table 4 Drugs Tested in Binding or Drug Interaction Testing or With Post-Marketing Reports\In Vitro\In Vivo','\Table|4|Drugs|Tested|in|Binding|or|Drug|Interaction|Testing|or|With|Post-Marketing|Reports\In|Vitro\In|Vivo','JJ|CD|NNS|VBN|IN|NN|CC|NNP|NNP|NNP|CC|IN|JJ|NNP|NNP|NNP'
'\Table 4 Drugs Tested in In Vitro Binding or In Vivo Drug Interaction Testing or With Post-Marketing Reports\','',''
'\Theophylline\','',''
'\Tizanidine \','',''
'847','847','CD'
'* The interaction between nevirapine and the drug was evaluated in a clinical study. All other drug interactions shown are predicted.\','',''
'? levonorgestrel','?|levonorgestrel','.|NN'
'Adenosine','Adenosine','NN'
"'albuterol, systemic and\inhaled'","'albuterol|,|systemic|and\inhaled'","'NN|,|JJ|VBD'"
"'albuterol,  systemic and inhaled'","'albuterol|,|systemic|and|inhaled'","'NN|,|JJ|CC|VBD'"
'AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide','AminoglutethimideAmiodaroneIodide|(|including|iodine-containing|Radiographic|contrast|agents|)|LithiumMethimazolePropylthioracil|(|PTU|)|SulfonamidesTolbutamide','NN|(|VBG|JJ|JJ|NN|NNS|)|NN|(|NN|)|NN'
'AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide','AminoglutethimideAmiodaroneIodide|(|including|iodine-containing|Radiographic|contrast|agents|)|LithiumMethimazolePropylthioracil|(|PTU|)|SulfonamidesTolbutamide','NN|(|VBG|JJ|JJ|NN|NNS|)|NN|(|NN|)|NN'
'Aminoglutethimide Amiodarone Iodide (including iodine-containing Radiographic contrast agents) Lithium Methimazole Propylthioracil (PTU) Sulfonamides Tolbutamide','Aminoglutethimide|Amiodarone|Iodide|(|including|iodine-containing|Radiographic|contrast|agents|)|Lithium|Methimazole|Propylthioracil|(|PTU|)|Sulfonamides|Tolbutamide','NN|NN|NN|(|VBG|JJ|JJ|NN|NNS|)|NN|NN|NN|(|NN|)|VBZ|NN'
'AminoglutethimideAmiodaroneIodide (including iodine-containingRadiographic contrast agents)LithiumMethimazolePropylthiouracil (PTU)SulfonamidesTolbutamide','AminoglutethimideAmiodaroneIodide|(|including|iodine-containingRadiographic|contrast|agents|)|LithiumMethimazolePropylthiouracil|(|PTU|)|SulfonamidesTolbutamide','NN|(|VBG|JJ|NN|NNS|)|NN|(|NN|)|NN'
'AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide','AminoglutethimideAmiodaroneIodide|(|including|iodine-containing|Radiographic|contrast|agents|)|LithiumMethimazolePropylthioracil|(|PTU|)|SulfonamidesTolbutamide','NN|(|VBG|JJ|JJ|NN|NNS|)|NN|(|NN|)|NN'
