Heading,CUI,Semantic Type,Preferred Name,,,
% Change of Co-administered Drug Pharmacokinetic Parameters (90% CI),C0392747|C0443172|C1705241|C3245499|C1521801|C0013227|C1705911|C1254351|C0439083|C0008107|C3259781|C0439087|C3842582,[ftcn]|[qnco]|[qnco]|[geoa]|[ftcn]|[phsu]|[idcn]|[phsu]|[qnco]|[geoa]|[lbpr]|[qnco]|[fndg],Changing|Changed status|Delta (difference)|Colombia|Having administered|Pharmaceutical Preparations|Pharmacokinetic Parameters Domain|Pharmacologic Substance|>90|Chile|Coagulation Index Measurement|<90|90%,,,
AED Co-administered,C0887457|C3245499|C1521801,"[orch, phsu]|[geoa]|[ftcn]",Cystamine Dihydrochloride|Colombia|Having administered,,,
AED Coadministered,C0887457,"[orch, phsu]",Cystamine Dihydrochloride,,,
AED Concentration,C0887457|C0004268|C0086045|C1446561,"[orch, phsu]|[menp]|[menp]|[qnco]",Cystamine Dihydrochloride|Attention|Mental concentration|Concentration measurement,,,
AEDCo-administered,C1521801,[ftcn],Having administered,,,
AEDConcentration,,,,,,
AED Co - administered,C0887457|C3245499|C1521801,"[orch, phsu]|[geoa]|[ftcn]",Cystamine Dihydrochloride|Colombia|Having administered,,,
AED Coadministered,C0887457,"[orch, phsu]",Cystamine Dihydrochloride,,,
AED Concentration,C0887457|C0004268|C0086045|C1446561,"[orch, phsu]|[menp]|[menp]|[qnco]",Cystamine Dihydrochloride|Attention|Mental concentration|Concentration measurement,,,
AEDCoadministered,,,,,,
AEDConcentration,,,,,,
AUC,C0376690,[qnco],Area Under Curve,,,
AUC ofCoadministeredDrug (95% CI),C0376690|C0008107|C3259781,[qnco]|[geoa]|[lbpr],Area Under Curve|Chile|Coagulation Index Measurement,,,
AUC ofCoadministeredDrug(90% CI),C0376690|C0439083|C0008107|C3259781|C0439087|C3842582,[qnco]|[qnco]|[geoa]|[lbpr]|[qnco]|[fndg],Area Under Curve|>90|Chile|Coagulation Index Measurement|<90|90%,,,
AUC ofDidanosine(90% CI),C0376690|C0439083|C0008107|C3259781|C0439087|C3842582,[qnco]|[qnco]|[geoa]|[lbpr]|[qnco]|[fndg],Area Under Curve|>90|Chile|Coagulation Index Measurement|<90|90%,,,
AUC ofDidanosine(95% CI),C0376690|C0008107|C3259781,[qnco]|[geoa]|[lbpr],Area Under Curve|Chile|Coagulation Index Measurement,,,
AUC ofStavudine(95% CI),C0376690|C0008107|C3259781,[qnco]|[geoa]|[lbpr],Area Under Curve|Chile|Coagulation Index Measurement,,,
AUC ofCoadministered Drug(95% CI),C0376690|C0013227|C1254351|C0008107|C3259781,[qnco]|[phsu]|[phsu]|[geoa]|[lbpr],Area Under Curve|Pharmaceutical Preparations|Pharmacologic Substance|Chile|Coagulation Index Measurement,,,
AUC(0-24h)(ng  h/mL),C0376690|C3842591|C0456696|C1442770|C1533072,[qnco]|[fndg]|[tmco]|[tmco]|[qnco],Area Under Curve|0%|per 24 hours|24 Hours|ng/mL/hr,,,
AUCSS(012h)(Extent of systemic exposure),C0439792|C0205373|C0274281|C0332157,[spco]|[ftcn]|[inpo]|[clna],Extent|Systemic|Injury due to exposure to external cause|Exposure to,,,
AUCss(012h) (Extent of systemic exposure),C0439792|C0205373|C0274281|C0332157,[spco]|[ftcn]|[inpo]|[clna],Extent|Systemic|Injury due to exposure to external cause|Exposure to,,,
AUC,C0376690,[qnco],Area Under Curve,,,
Adjusted Dose,C0456081|C0178602|C0869039|C1114758,[ftcn]|[qnco]|[qnco]|[clna],Adjustment Action|Dosage|Unit dose|Dose number:Number:Point in time:^Patient:Quantitative,,,
Alcohol,C0001962|C0001975,"[orch, phsu]|[orch, phsu]",Ethanol|Alcohols,,,
Alpha-Blocker,C0001641,[phsu],Adrenergic alpha-Antagonists,,,
Analgesics: Methadone*,C0002771|C0025605|C1552533,"[phsu]|[orch, phsu]|[hcro, mnob]",Analgesics|Methadone|Methadone Clinic/Center,,,
Anti-coagulant drugs,C0848112,[topp],on anti-coagulants,,,
"Antiarrhythmics: Amiodarone, disopyramide,lidocaine",C0003195|C0002598|C0012702|C0023660,"[phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]",Anti-Arrhythmia Agents|Amiodarone|Disopyramide|Lidocaine,,,
Antibiotics,C0003232|C0003237|C3540704|C3540705|C3540706|C3540707|C3540708|C3540709|C3540710,[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb],"Antibiotics|Antibiotics, Antitubercular|Antibiotics for systemic use|Antifungal Antibiotics, Topical|Antibiotic throat preparations|Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE|Antibiotics, Gynecological|antibiotics, intestinal|Antibiotics, ophthalmologic",,,
Antibiotics: Clarithromycin*,C0003232|C0003237|C3540704|C3540705|C3540706|C3540707|C3540708|C3540709|C3540710|C0055856,"[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb]|[antb, orch]","Antibiotics|Antibiotics, Antitubercular|Antibiotics for systemic use|Antifungal Antibiotics, Topical|Antibiotic throat preparations|Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE|Antibiotics, Gynecological|antibiotics, intestinal|Antibiotics, ophthalmologic|Clarithromycin",,,
